{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1218285964, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.8605599403381348, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1034037786, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 2.2632861137390137, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 146970801, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.4604170322418213, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2477926049, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.3053877353668213, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1028735461, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.1785087585449219, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2656939438, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.304295539855957, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 961518652, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.7900810241699219, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1897406873, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.14160466194152832, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 318981655, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.9268877506256104, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1168307071, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.1289992332458496, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1135767220, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.1476631164550781, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2262636539, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.0747754573822021, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2044006605, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.2094848155975342, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1374225481, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.7427499294281006, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1347945949, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.6476931571960449, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1225845620, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.796104907989502, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1677491187, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.566727876663208, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1923626201, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.4050135612487793, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1584645065, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.2517762184143066, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2655188682, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.193960428237915, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1508173960, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.12317657470703125, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1516553962, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.19455385208129883, 'pollard_rho_mem_mb': 0.000644683837890625}
